,Category,Name
0,Arabic,b'Khoury'
1,Arabic,b'Nahas'
2,Arabic,b'Daher'
3,Arabic,b'Gerges'
4,Arabic,b'Nazari'
5,Arabic,b'Maalouf'
6,Arabic,b'Gerges'
7,Arabic,b'Naifeh'
8,Arabic,b'Guirguis'
9,Arabic,b'Baba'
10,Arabic,b'Sabbagh'
11,Arabic,b'Attia'
12,Arabic,b'Tahan'
13,Arabic,b'Haddad'
14,Arabic,b'Aswad'
15,Arabic,b'Najjar'
16,Arabic,b'Dagher'
17,Arabic,b'Maloof'
18,Arabic,b'Isa'
19,Arabic,b'Asghar'
20,Arabic,b'Nader'
21,Arabic,b'Gaber'
22,Arabic,b'Abboud'
23,Arabic,b'Maalouf'
24,Arabic,b'Zogby'
25,Arabic,b'Srour'
26,Arabic,b'Bahar'
27,Arabic,b'Mustafa'
28,Arabic,b'Hanania'
29,Arabic,b'Daher'
30,Arabic,b'Tuma'
31,Arabic,b'Nahas'
32,Arabic,b'Saliba'
33,Arabic,b'Shamoon'
34,Arabic,b'Handal'
35,Arabic,b'Baba'
36,Arabic,b'Amari'
37,Arabic,b'Bahar'
38,Arabic,b'Atiyeh'
39,Arabic,b'Said'
40,Arabic,b'Khouri'
41,Arabic,b'Tahan'
42,Arabic,b'Baba'
43,Arabic,b'Mustafa'
44,Arabic,b'Guirguis'
45,Arabic,b'Sleiman'
46,Arabic,b'Seif'
47,Arabic,b'Dagher'
48,Arabic,b'Bahar'
49,Arabic,b'Gaber'
50,Arabic,b'Harb'
51,Arabic,b'Seif'
52,Arabic,b'Asker'
53,Arabic,b'Nader'
54,Arabic,b'Antar'
55,Arabic,b'Awad'
56,Arabic,b'Srour'
57,Arabic,b'Shadid'
58,Arabic,b'Hajjar'
59,Arabic,b'Hanania'
60,Arabic,b'Kalb'
61,Arabic,b'Shadid'
62,Arabic,b'Bazzi'
63,Arabic,b'Mustafa'
64,Arabic,b'Masih'
65,Arabic,b'Ghanem'
66,Arabic,b'Haddad'
67,Arabic,b'Isa'
68,Arabic,b'Antoun'
69,Arabic,b'Sarraf'
70,Arabic,b'Sleiman'
71,Arabic,b'Dagher'
72,Arabic,b'Najjar'
73,Arabic,b'Malouf'
74,Arabic,b'Nahas'
75,Arabic,b'Naser'
76,Arabic,b'Saliba'
77,Arabic,b'Shamon'
78,Arabic,b'Malouf'
79,Arabic,b'Kalb'
80,Arabic,b'Daher'
81,Arabic,b'Maalouf'
82,Arabic,b'Wasem'
83,Arabic,b'Kanaan'
84,Arabic,b'Naifeh'
85,Arabic,b'Boutros'
86,Arabic,b'Moghadam'
87,Arabic,b'Masih'
88,Arabic,b'Sleiman'
89,Arabic,b'Aswad'
90,Arabic,b'Cham'
91,Arabic,b'Assaf'
92,Arabic,b'Quraishi'
93,Arabic,b'Shalhoub'
94,Arabic,b'Sabbag'
95,Arabic,b'Mifsud'
96,Arabic,b'Gaber'
97,Arabic,b'Shammas'
98,Arabic,b'Tannous'
99,Arabic,b'Sleiman'
100,Arabic,b'Bazzi'
101,Arabic,b'Quraishi'
102,Arabic,b'Rahal'
103,Arabic,b'Cham'
104,Arabic,b'Ghanem'
105,Arabic,b'Ghanem'
106,Arabic,b'Naser'
107,Arabic,b'Baba'
108,Arabic,b'Shamon'
109,Arabic,b'Almasi'
110,Arabic,b'Basara'
111,Arabic,b'Quraishi'
112,Arabic,b'Bata'
113,Arabic,b'Wasem'
114,Arabic,b'Shamoun'
115,Arabic,b'Deeb'
116,Arabic,b'Touma'
117,Arabic,b'Asfour'
118,Arabic,b'Deeb'
119,Arabic,b'Hadad'
120,Arabic,b'Naifeh'
121,Arabic,b'Touma'
122,Arabic,b'Bazzi'
123,Arabic,b'Shamoun'
124,Arabic,b'Nahas'
125,Arabic,b'Haddad'
126,Arabic,b'Arian'
127,Arabic,b'Kouri'
128,Arabic,b'Deeb'
129,Arabic,b'Toma'
130,Arabic,b'Halabi'
131,Arabic,b'Nazari'
132,Arabic,b'Saliba'
133,Arabic,b'Fakhoury'
134,Arabic,b'Hadad'
135,Arabic,b'Baba'
136,Arabic,b'Mansour'
137,Arabic,b'Sayegh'
138,Arabic,b'Antar'
139,Arabic,b'Deeb'
140,Arabic,b'Morcos'
141,Arabic,b'Shalhoub'
142,Arabic,b'Sarraf'
143,Arabic,b'Amari'
144,Arabic,b'Wasem'
145,Arabic,b'Ganim'
146,Arabic,b'Tuma'
147,Arabic,b'Fakhoury'
148,Arabic,b'Hadad'
149,Arabic,b'Hakimi'
150,Arabic,b'Nader'
151,Arabic,b'Said'
152,Arabic,b'Ganim'
153,Arabic,b'Daher'
154,Arabic,b'Ganem'
155,Arabic,b'Tuma'
156,Arabic,b'Boutros'
157,Arabic,b'Aswad'
158,Arabic,b'Sarkis'
159,Arabic,b'Daher'
160,Arabic,b'Toma'
161,Arabic,b'Boutros'
162,Arabic,b'Kanaan'
163,Arabic,b'Antar'
164,Arabic,b'Gerges'
165,Arabic,b'Kouri'
166,Arabic,b'Maroun'
167,Arabic,b'Wasem'
168,Arabic,b'Dagher'
169,Arabic,b'Naifeh'
170,Arabic,b'Bishara'
171,Arabic,b'Ba'
172,Arabic,b'Cham'
173,Arabic,b'Kalb'
174,Arabic,b'Bazzi'
175,Arabic,b'Bitar'
176,Arabic,b'Hadad'
177,Arabic,b'Moghadam'
178,Arabic,b'Sleiman'
179,Arabic,b'Shamoun'
180,Arabic,b'Antar'
181,Arabic,b'Atiyeh'
182,Arabic,b'Koury'
183,Arabic,b'Nahas'
184,Arabic,b'Kouri'
185,Arabic,b'Maroun'
186,Arabic,b'Nassar'
187,Arabic,b'Sayegh'
188,Arabic,b'Haik'
189,Arabic,b'Ghanem'
190,Arabic,b'Sayegh'
191,Arabic,b'Salib'
192,Arabic,b'Cham'
193,Arabic,b'Bata'
194,Arabic,b'Touma'
195,Arabic,b'Antoun'
196,Arabic,b'Antar'
197,Arabic,b'Bata'
198,Arabic,b'Botros'
199,Arabic,b'Shammas'
200,Arabic,b'Ganim'
201,Arabic,b'Sleiman'
202,Arabic,b'Seif'
203,Arabic,b'Moghadam'
204,Arabic,b'Ba'
205,Arabic,b'Tannous'
206,Arabic,b'Bazzi'
207,Arabic,b'Seif'
208,Arabic,b'Salib'
209,Arabic,b'Hadad'
210,Arabic,b'Quraishi'
211,Arabic,b'Halabi'
212,Arabic,b'Essa'
213,Arabic,b'Bahar'
214,Arabic,b'Kattan'
215,Arabic,b'Boutros'
216,Arabic,b'Nahas'
217,Arabic,b'Sabbagh'
218,Arabic,b'Kanaan'
219,Arabic,b'Sayegh'
220,Arabic,b'Said'
221,Arabic,b'Botros'
222,Arabic,b'Najjar'
223,Arabic,b'Toma'
224,Arabic,b'Bata'
225,Arabic,b'Atiyeh'
226,Arabic,b'Halabi'
227,Arabic,b'Tannous'
228,Arabic,b'Kouri'
229,Arabic,b'Shamoon'
230,Arabic,b'Kassis'
231,Arabic,b'Haddad'
232,Arabic,b'Tuma'
233,Arabic,b'Mansour'
234,Arabic,b'Antar'
235,Arabic,b'Kassis'
236,Arabic,b'Kalb'
237,Arabic,b'Basara'
238,Arabic,b'Rahal'
239,Arabic,b'Mansour'
240,Arabic,b'Handal'
241,Arabic,b'Morcos'
242,Arabic,b'Fakhoury'
243,Arabic,b'Hadad'
244,Arabic,b'Morcos'
245,Arabic,b'Kouri'
246,Arabic,b'Quraishi'
247,Arabic,b'Almasi'
248,Arabic,b'Awad'
249,Arabic,b'Naifeh'
250,Arabic,b'Koury'
251,Arabic,b'Asker'
252,Arabic,b'Maroun'
253,Arabic,b'Fakhoury'
254,Arabic,b'Sabbag'
255,Arabic,b'Sarraf'
256,Arabic,b'Shamon'
257,Arabic,b'Assaf'
258,Arabic,b'Boutros'
259,Arabic,b'Malouf'
260,Arabic,b'Nassar'
261,Arabic,b'Qureshi'
262,Arabic,b'Ghanem'
263,Arabic,b'Srour'
264,Arabic,b'Almasi'
265,Arabic,b'Qureshi'
266,Arabic,b'Ghannam'
267,Arabic,b'Mustafa'
268,Arabic,b'Najjar'
269,Arabic,b'Kassab'
270,Arabic,b'Shadid'
271,Arabic,b'Shamoon'
272,Arabic,b'Morcos'
273,Arabic,b'Atiyeh'
274,Arabic,b'Isa'
275,Arabic,b'Ba'
276,Arabic,b'Baz'
277,Arabic,b'Asker'
278,Arabic,b'Seif'
279,Arabic,b'Asghar'
280,Arabic,b'Hajjar'
281,Arabic,b'Deeb'
282,Arabic,b'Essa'
283,Arabic,b'Qureshi'
284,Arabic,b'Abboud'
285,Arabic,b'Ganem'
286,Arabic,b'Haddad'
287,Arabic,b'Koury'
288,Arabic,b'Nassar'
289,Arabic,b'Abadi'
290,Arabic,b'Toma'
291,Arabic,b'Tannous'
292,Arabic,b'Harb'
293,Arabic,b'Issa'
294,Arabic,b'Khouri'
295,Arabic,b'Mifsud'
296,Arabic,b'Kalb'
297,Arabic,b'Gaber'
298,Arabic,b'Ganim'
299,Arabic,b'Boulos'
300,Arabic,b'Samaha'
301,Arabic,b'Haddad'
302,Arabic,b'Sabbag'
303,Arabic,b'Wasem'
304,Arabic,b'Dagher'
305,Arabic,b'Rahal'
306,Arabic,b'Atiyeh'
307,Arabic,b'Antar'
308,Arabic,b'Asghar'
309,Arabic,b'Mansour'
310,Arabic,b'Awad'
311,Arabic,b'Boulos'
312,Arabic,b'Sarraf'
313,Arabic,b'Deeb'
314,Arabic,b'Abadi'
315,Arabic,b'Nazari'
316,Arabic,b'Daher'
317,Arabic,b'Gerges'
318,Arabic,b'Shamoon'
319,Arabic,b'Gaber'
320,Arabic,b'Amari'
321,Arabic,b'Sarraf'
322,Arabic,b'Nazari'
323,Arabic,b'Saliba'
324,Arabic,b'Naifeh'
325,Arabic,b'Nazari'
326,Arabic,b'Hakimi'
327,Arabic,b'Shamon'
328,Arabic,b'Abboud'
329,Arabic,b'Quraishi'
330,Arabic,b'Tahan'
331,Arabic,b'Safar'
332,Arabic,b'Hajjar'
333,Arabic,b'Srour'
334,Arabic,b'Gaber'
335,Arabic,b'Shalhoub'
336,Arabic,b'Attia'
337,Arabic,b'Safar'
338,Arabic,b'Said'
339,Arabic,b'Ganem'
340,Arabic,b'Nader'
341,Arabic,b'Asghar'
342,Arabic,b'Mustafa'
343,Arabic,b'Said'
344,Arabic,b'Antar'
345,Arabic,b'Botros'
346,Arabic,b'Nader'
347,Arabic,b'Ghannam'
348,Arabic,b'Asfour'
349,Arabic,b'Tahan'
350,Arabic,b'Mansour'
351,Arabic,b'Attia'
352,Arabic,b'Touma'
353,Arabic,b'Najjar'
354,Arabic,b'Kassis'
355,Arabic,b'Abboud'
356,Arabic,b'Bishara'
357,Arabic,b'Bazzi'
358,Arabic,b'Shalhoub'
359,Arabic,b'Shalhoub'
360,Arabic,b'Safar'
361,Arabic,b'Khoury'
362,Arabic,b'Nazari'
363,Arabic,b'Sabbag'
364,Arabic,b'Sleiman'
365,Arabic,b'Atiyeh'
366,Arabic,b'Kouri'
367,Arabic,b'Bitar'
368,Arabic,b'Zogby'
369,Arabic,b'Ghanem'
370,Arabic,b'Assaf'
371,Arabic,b'Abadi'
372,Arabic,b'Arian'
373,Arabic,b'Shalhoub'
374,Arabic,b'Khoury'
375,Arabic,b'Morcos'
376,Arabic,b'Shamon'
377,Arabic,b'Wasem'
